Formula,Atomic Ratio_sum,Atomic Ratio_max,Atomic Ratio_min,Atomic Ratio_diff,Atomic Number_sum,Atomic Number_max,Atomic Number_min,Atomic Number_diff,Atomic Weight_sum,Atomic Weight_max,Atomic Weight_min,Atomic Weight_diff,Atomic Radius_sum,Atomic Radius_max,Atomic Radius_min,Atomic Radius_diff,EN pauling_sum,EN pauling_max,EN pauling_min,EN pauling_diff,Valence Electron_sum,Valence Electron_max,Valence Electron_min,Valence Electron_diff,Ionization Energy_sum,Ionization Energy_max,Ionization Energy_min,Ionization Energy_diff,ARW_Atomic Number_sum,ARW_Atomic Number_max,ARW_Atomic Number_min,ARW_Atomic Number_diff,ARW_Atomic Weight_sum,ARW_Atomic Weight_max,ARW_Atomic Weight_min,ARW_Atomic Weight_diff,ARW_Atomic Radius_sum,ARW_Atomic Radius_max,ARW_Atomic Radius_min,ARW_Atomic Radius_diff,ARW_EN pauling_sum,ARW_EN pauling_max,ARW_EN pauling_min,ARW_EN pauling_diff,ARW_Valence Electron_sum,ARW_Valence Electron_max,ARW_Valence Electron_min,ARW_Valence Electron_diff,ARW_Ionization Energy_sum,ARW_Ionization Energy_max,ARW_Ionization Energy_min,ARW_Ionization Energy_diff,Temperature (K),Emission energy (nm),Excitation peak (nm)
CaMg2Al16O27Mn0.08,46.08,27,0.08,26.92,78,25,8,17,162.3015825,54.938044,15.999,38.939043999999996,655,180,60,120,8.91,3.44,1,2.44,20,7,2,5,40.7972306,13.618054,5.9857684,7.6322856,470,216,2,214,956.76065952,431.973,4.39504352,427.57795648,4111.2,2000,11.200000000000001,1988.8,122.38399999999999,92.88,0.12400000000000001,92.756,216.56,162,0.56,161.44,485.46009904,367.687458,0.59472144,367.09273656,298,665,345
LaMg0.5Ti0.496O3Mn0.008,5.0040000000000004,3,0.008,2.992,124,57,8,49,282.014514,138.90547,15.999,122.90647000000001,685,195,60,135,8.940000000000001,3.44,1.1,2.34,22,7,2,5,41.103327,13.618054,5.5769,8.041154,98.11200000000001,57,0.2,56.8,223.23650635200002,138.90547,0.439504352,138.465965648,520.5600000000001,195,1.12,193.88,12.85124,10.32,0.012400000000000001,10.3076,24.040000000000003,18,0.056,17.944,53.700399164000004,40.854162,0.059472144000000005,40.794689856000005,298,708,345
Ba2Y4.95B5O17Ce0.01,28.96,17,0.01,16.99,166,58,5,53,393.15784,140.116,10.81,129.306,725,215,60,155,8.71,3.44,0.89,2.55,16,6,2,4,38.883597,13.618054,5.211664,8.406390000000002,466.63,193.05,0.58,192.47,1042.1720679999999,440.083908,1.4011600000000002,438.682748,2767.85,1020,1.85,1018.15,76.5102,58.48,0.011200000000000002,58.468799999999995,135.87,102,0.02,101.98,314.251164,231.506918,0.055386,231.45153200000001,298,440,345
Ba2Y4.7B5O17Ce0.01Tb0.05,28.76,17,0.01,16.99,231,65,5,60,552.0831900000001,158.92535,10.81,148.11535,900,215,60,155,8.71,3.44,0,3.44,18,6,2,4,44.747397,13.618054,5.211664,8.406390000000002,460.13,183.3,0.58,182.72,1027.8918755,417.85744800000003,1.4011600000000002,416.45628800000003,2731.6,1020,1.85,1018.15,76.20519999999999,58.48,0,58.48,135.22,102,0.02,101.98,312.990039,231.506918,0.055386,231.45153200000001,298,543,345
Ba2Y4.45B5O17Ce0.01Tb0.1,28.560000000000002,17,0.01,16.99,231,65,5,60,552.0831900000001,158.92535,10.81,148.11535,900,215,60,155,8.71,3.44,0,3.44,18,6,2,4,44.747397,13.618054,5.211664,8.406390000000002,453.63,173.55,0.58,172.97,1013.611683,395.630988,1.4011600000000002,394.229828,2695.35,1020,1.85,1018.15,75.9002,58.48,0,58.48,134.57,102,0.02,101.98,311.72891400000003,231.506918,0.055386,231.45153200000001,298,543,345
Ba2Y3.95B5O17Ce0.01Tb0.2,28.16,17,0.01,16.99,231,65,5,60,552.0831900000001,158.92535,10.81,148.11535,900,215,60,155,8.71,3.44,0,3.44,18,6,2,4,44.747397,13.618054,5.211664,8.406390000000002,440.63,154.05,0.58,153.47,985.0512979999999,351.178068,1.4011600000000002,349.776908,2622.85,1020,1.85,1018.15,75.2902,58.48,0,58.48,133.27,102,0.02,101.98,309.206664,231.506918,0.055386,231.45153200000001,298,543,345
Ba2Y3.45B5O17Ce0.01Tb0.3,27.76,17,0.01,16.99,231,65,5,60,552.0831900000001,158.92535,10.81,148.11535,900,215,60,155,8.71,3.44,0,3.44,18,6,2,4,44.747397,13.618054,5.211664,8.406390000000002,427.63,136,0.58,135.42,956.4909129999999,306.725148,1.4011600000000002,305.323988,2550.35,1020,1.85,1018.15,74.6802,58.48,0,58.48,131.97,102,0.02,101.98,306.684414,231.506918,0.055386,231.45153200000001,298,543,345
Ba2Y2.95B5O17Ce0.01Tb0.4,27.36,17,0.01,16.99,231,65,5,60,552.0831900000001,158.92535,10.81,148.11535,900,215,60,155,8.71,3.44,0,3.44,18,6,2,4,44.747397,13.618054,5.211664,8.406390000000002,414.63,136,0.58,135.42,927.930528,274.654,1.4011600000000002,273.25284,2477.85,1020,1.85,1018.15,74.0702,58.48,0,58.48,130.67000000000002,102,0.02,101.98,304.162164,231.506918,0.055386,231.45153200000001,298,543,345
Na1.09Sr3.82B3O9Ce0.09,17,9,0.09,8.91,120,58,5,53,277.53476928000003,140.116,10.81,129.306,710,200,60,140,8.48,3.44,0.93,2.51,14,6,1,5,38.28861690000001,13.618054,5.1390767,8.4789773,249.37,145.16,5.22,139.94,548.7986885152001,334.7084,12.61044,322.09796,1771.8500000000001,764,16.65,747.35,41.8235,30.96,0.1008,30.8592,71.91000000000001,54,0.18,53.82,175.311003307,122.562486,0.498474,122.064012,298,420,345
Ca9LaP5SiO24Cl2Eu0.01,42.01,24,0.01,23.99,194,63,8,55,441.455231998,151.964,15.999,135.965,930,195,60,135,12.79,3.44,0,3.44,29,7,2,5,62.5844932,13.618054,5.5769,8.041154,552.63,192,0.63,191.37,1138.9569199900002,383.976,1.51964,382.45636,4066.85,1620,1.85,1618.15,111.82999999999998,82.56,0,82.56,208.02,144,0.02,143.98,474.00566965,326.833296,0.05670385,326.77659215,298,461,345
