Formula,Atomic Ratio_sum,Atomic Ratio_max,Atomic Ratio_min,Atomic Ratio_diff,Atomic Number_sum,Atomic Number_max,Atomic Number_min,Atomic Number_diff,Atomic Weight_sum,Atomic Weight_max,Atomic Weight_min,Atomic Weight_diff,Atomic Radius_sum,Atomic Radius_max,Atomic Radius_min,Atomic Radius_diff,EN pauling_sum,EN pauling_max,EN pauling_min,EN pauling_diff,Valence Electron_sum,Valence Electron_max,Valence Electron_min,Valence Electron_diff,Ionization Energy_sum,Ionization Energy_max,Ionization Energy_min,Ionization Energy_diff,ARW_Atomic Number_sum,ARW_Atomic Number_max,ARW_Atomic Number_min,ARW_Atomic Number_diff,ARW_Atomic Weight_sum,ARW_Atomic Weight_max,ARW_Atomic Weight_min,ARW_Atomic Weight_diff,ARW_Atomic Radius_sum,ARW_Atomic Radius_max,ARW_Atomic Radius_min,ARW_Atomic Radius_diff,ARW_EN pauling_sum,ARW_EN pauling_max,ARW_EN pauling_min,ARW_EN pauling_diff,ARW_Valence Electron_sum,ARW_Valence Electron_max,ARW_Valence Electron_min,ARW_Valence Electron_diff,ARW_Ionization Energy_sum,ARW_Ionization Energy_max,ARW_Ionization Energy_min,ARW_Ionization Energy_diff,Temperature (K),Excitation source (nm),CIE coordinate (Y)
Ba9Lu1.8Si6O24Ce0.1Tb0.1,41,24,0.1,23.9,272,71,8,63,655.4191500000001,174.9668,15.999,158.9678,920,215,60,155,8.350000000000001,3.44,0,3.44,18,6,2,4,43.809672,13.618054,5.211664,8.406390000000002,920.0999999999999,504,5.800000000000001,498.2,2133.2733749999998,1235.943,14.011600000000001,1221.9314,4386,1935,17.5,1917.5,103.882,82.56,0,82.56,189.99999999999997,144,0.2,143.8,433.5551778,326.833296,0.55386,326.27943600000003,298,400,0.4121
Ca1.64Gd7.6Si6O26Ce0.05Mn0.18,41.47,26,0.05,25.95,189,64,8,56,436.466044,157.25,15.999,141.251,855,185,60,125,10.21,3.44,1,2.44,23,7,2,5,47.00530620000001,13.618054,5.5386,8.079454000000002,818.5999999999999,486.4,2.9000000000000004,483.5,1862.2065679199998,1195.1,7.005800000000001,1188.0942,3917.6499999999996,1560,9.25,1550.75,111.93499999999999,89.44,0.05600000000000001,89.384,199.84,156,0.1,155.9,461.35857936800005,354.069404,0.27693,353.792474,298,352,0.413
Sr2.955ScP3O12Eu0.005Mn0.01,18.97,12,0.005,11.995,170,63,8,55,386.45071399799997,151.964,15.999,135.965,845,200,60,140,9.49,3.44,0,3.44,25,7,2,5,49.4655002,13.618054,5.670385,7.947669000000001,274.855,112.29,0.25,112.04,590.0914944340001,258.9171,0.54938044,258.36771956,1773.325,720,0.925,719.075,52.03275000000001,41.28,0,41.28,95.99,72,0.01,71.99,218.36922068100003,163.416648,0.028351925,163.388296075,298,350,0.413
Ca0.997AlSiN3Yb0.003,6,3,0.003,2.997,124,70,7,63,282.1965385,173.045,14.007,159.03799999999998,655,180,65,115,7.55,3.04,0,3.04,16,5,2,3,41.038896599999994,14.53413,5.9857684,8.5483616,68.14999999999999,21,0.21,20.79,137.5644395,42.021,0.519135,41.501865,609.985,195,0.525,194.475,13.627,9.120000000000001,0,9.120000000000001,24,15,0.006,14.994,63.853419614399996,43.60239,0.018762479999999998,43.58362752,298,529,0.413
Ca6.237Sr2.7YP7O28Eu0.007,44.943999999999996,28,0.007,27.993,183,63,8,55,415.540601998,151.964,15.999,135.965,905,200,60,140,8.799999999999999,3.44,0,3.44,20,6,2,4,47.8004074,13.618054,5.670385,7.947669000000001,595.7810000000001,224,0.441,223.559,1241.2984079860003,447.97200000000004,1.063748,446.90825200000006,4223.955,1680,1.295,1678.705,121.672,96.32,0,96.32,223.888,168,0.014,167.986,514.4731571174,381.305512,0.039692695,381.26581930500004,298,380,0.413
Sr0.925MoO4Sm0.05,5.975,4,0.05,3.95,150,62,8,54,349.929,150.36,15.999,134.36100000000002,590,200,60,140,7.720000000000001,3.44,0.95,2.49,16,6,2,4,32.049061200000004,13.618054,5.64371,7.974344000000001,112.25,42,3.1,38.9,248.51250000000002,95.95,7.518000000000001,88.432,579.25,240,9.25,230.75,16.857249999999997,13.76,0.058499999999999996,13.7015,31.950000000000003,24,0.1,23.9,67.11458366,54.472216,0.2821855,54.190030500000006,298,278,0.4136
Sr1.85MgB2O6Ce0.05Tb0.05,10.950000000000001,6,0.05,5.95,186,65,5,60,437.77535,158.92535,10.81,148.11535,855,200,60,140,8.86,3.44,0,3.44,17,6,2,4,46.6595752,13.618054,5.5386,8.079454000000002,146.45000000000002,70.3,2.9000000000000004,67.39999999999999,318.9680675,162.097,7.005800000000001,155.09120000000001,1068,370,8.75,361.25,27.843500000000002,20.64,0,20.64,47.900000000000006,36,0.1,35.9,117.05622131999999,81.708324,0.27693,81.43139400000001,298,323,0.4136
Ca1.64Gd7.6Si6O26Ce0.05Mn0.18,41.47,26,0.05,25.95,189,64,8,56,436.466044,157.25,15.999,141.251,855,185,60,125,10.21,3.44,1,2.44,23,7,2,5,47.00530620000001,13.618054,5.5386,8.079454000000002,818.5999999999999,486.4,2.9000000000000004,483.5,1862.2065679199998,1195.1,7.005800000000001,1188.0942,3917.6499999999996,1560,9.25,1550.75,111.93499999999999,89.44,0.05600000000000001,89.384,199.84,156,0.1,155.9,461.35857936800005,354.069404,0.27693,353.792474,298,287,0.414
Ca1.5Gd7.6Si6O26Ce0.05Mn0.25,41.4,26,0.05,25.95,189,64,8,56,436.466044,157.25,15.999,141.251,855,185,60,125,10.21,3.44,1,2.44,23,7,2,5,47.00530620000001,13.618054,5.5386,8.079454000000002,817.55,486.4,2.9000000000000004,483.5,1860.4413109999998,1195.1,7.005800000000001,1188.0942,3902.25,1560,9.25,1550.75,111.9035,89.44,0.05600000000000001,89.384,200.04999999999998,156,0.1,155.9,461.0231189,354.069404,0.27693,353.792474,298,352,0.414
Na2ZnP2O7Sm0.05,12.05,7,0.05,6.95,126,62,8,54,285.70253127800004,150.36,15.999,134.36100000000002,660,185,60,125,9.379999999999999,3.44,0.93,2.51,26,12,1,11,44.2817257,13.618054,5.1390767,8.4789773,141.1,56,3.1,52.9,292.818062556,111.99300000000001,7.518000000000001,104.47500000000001,1124.25,420,9.25,410.75,32.0285,24.08,0.058499999999999996,24.0215,66.1,42,0.1,41.9,136.2542879,95.326378,0.2821855,95.04419250000001,298,375,0.414
Sr2P2O7Sm0.06,11.06,7,0.06,6.94,123,62,8,54,284.952761998,150.36,15.999,134.36100000000002,545,200,60,140,7.75,3.44,0.95,2.49,15,6,2,4,35.4433172,13.618054,5.64371,7.974344000000001,165.72,76,3.7199999999999998,72.28,358.202123996,175.24,9.021600000000001,166.2184,1031.1,420,11.1,408.9,30.4302,24.08,0.0702,24.0098,56.12,42,0.12,41.88,128.028107,95.326378,0.33862259999999994,94.98775540000001,298,400,0.4147
Ca3Sr3P4O16Sm0.03,26.03,16,0.03,15.97,143,62,8,54,325.030761998,150.36,15.999,134.36100000000002,725,200,60,140,8.75,3.44,0.95,2.49,17,6,2,4,41.5564724,13.618054,5.64371,7.974344000000001,363.86,128,1.8599999999999999,126.14,767.483847992,262.86,4.510800000000001,258.3492,2505.55,960,5.55,954.45,69.6851,55.04,0.0351,55.0049,128.06,96,0.06,95.94,295.4289865,217.888864,0.16931129999999997,217.7195527,298,405,0.4148
K0.4Na0.6Sr0.985Eu0.005Tb0.01,1.9999999999999998,0.985,0.005,0.98,196,65,11,54,460.59741928000005,158.92535,22.98976928,135.93558072000002,960,220,175,45,2.7,0.95,0,0.95,8,2,1,1,26.708792440000003,5.8638,4.34066354,1.52313646,52.59499999999999,37.43,0.315,37.115,118.08795506800001,86.3057,0.75982,85.54588,395.675,197,0.925,196.075,1.8217500000000002,0.93575,0,0.93575,2.9999999999999996,1.97,0.01,1.96,10.516145553000001,5.609444192,0.028351925,5.581092267,298,365,0.415
CaWO4Dy0.05,6.05,4,0.05,3.95,168,74,8,66,402.41700000000003,183.84,15.999,167.841,550,180,60,120,7.36,3.44,1,2.44,16,6,2,4,33.5342892,13.618054,5.93905,7.679004000000001,129.3,74,3.3000000000000003,70.7,296.039,183.84,8.125,175.715,563.75,240,8.75,231.25,16.521,13.76,0.061,13.699,32.1,24,0.1,23.9,68.7463537,54.472216,0.2969525,54.1752635,298,353,0.415
