Formula,Atomic Ratio_sum,Atomic Ratio_max,Atomic Ratio_min,Atomic Ratio_diff,Atomic Number_sum,Atomic Number_max,Atomic Number_min,Atomic Number_diff,Atomic Weight_sum,Atomic Weight_max,Atomic Weight_min,Atomic Weight_diff,Atomic Radius_sum,Atomic Radius_max,Atomic Radius_min,Atomic Radius_diff,EN pauling_sum,EN pauling_max,EN pauling_min,EN pauling_diff,Valence Electron_sum,Valence Electron_max,Valence Electron_min,Valence Electron_diff,Ionization Energy_sum,Ionization Energy_max,Ionization Energy_min,Ionization Energy_diff,ARW_Atomic Number_sum,ARW_Atomic Number_max,ARW_Atomic Number_min,ARW_Atomic Number_diff,ARW_Atomic Weight_sum,ARW_Atomic Weight_max,ARW_Atomic Weight_min,ARW_Atomic Weight_diff,ARW_Atomic Radius_sum,ARW_Atomic Radius_max,ARW_Atomic Radius_min,ARW_Atomic Radius_diff,ARW_EN pauling_sum,ARW_EN pauling_max,ARW_EN pauling_min,ARW_EN pauling_diff,ARW_Valence Electron_sum,ARW_Valence Electron_max,ARW_Valence Electron_min,ARW_Valence Electron_diff,ARW_Ionization Energy_sum,ARW_Ionization Energy_max,ARW_Ionization Energy_min,ARW_Ionization Energy_diff,Temperature (K),Excitation source (nm),IQE
Ba2Y1.68P2O12SiTb0.3Eu0.02,19,12,0.02,11.98,260,65,8,57,612.179951998,158.92535,15.999,142.92635,1025,215,60,155,9.64,3.44,0,3.44,24,6,2,4,55.219532,13.618054,5.211664,8.406390000000002,338.28,112,1.26,110.74,756.7532201959999,274.654,3.03928,271.61472,1818.6000000000001,720,3.7,716.3,51.3896,41.28,0,41.28,95.67999999999999,72,0.04,71.96,215.2825755,163.416648,0.1134077,163.3032403,298,377,77.5
Na3Sc2P3O12Dy0.05,20.05,12,0.05,11.95,121,66,8,58,277.418439278,162.5,15.999,146.501,675,180,60,120,9.14,3.44,0.93,2.51,17,6,1,5,41.744356700000004,13.618054,5.1390767,8.4789773,219.3,96,3.3000000000000003,92.7,451.915409834,191.988,8.125,183.863,1888.75,720,8.75,711.25,53.421,41.28,0.061,41.219,96.1,72,0.1,71.9,223.7138686,163.416648,0.2969525,163.1196955,298,350,77.8
Ca8ZnLa0.3P7O28Eu0.7,45,28,0.3,27.7,193,63,8,55,443.300231998,151.964,15.999,135.965,855,195,60,135,9.379999999999999,3.44,0,3.44,30,12,2,10,50.85937920000001,13.618054,5.5769,8.041154,580.2,224,17.099999999999998,206.9,1198.838774986,447.97200000000004,41.671641,406.300359,4143,1680,58.5,1621.5,121.63,96.32,0,96.32,233.3,168,0.8999999999999999,167.1,518.6540941,381.305512,1.67307,379.632442,298,391,78
LiNaGe4O9Mn0.0005,15.0005,9,0.0005,8.9995,79,32,3,29,173.49681328,72.63,6.94,65.69,650,180,60,120,8.91,3.44,0.93,2.51,19,7,1,6,39.482298461000006,13.618054,5.1390767,8.4789773,214.0125,128,0.0125,127.9875,464.46823830200003,290.52,0.027469022,290.492530978,1365.07,540,0.07,539.93,40.910774999999994,30.96,0.0007750000000000001,30.959225,72.0035,54,0.0035,53.9965,164.69473447000001,122.562486,0.0037170090000000003,122.55876899100001,298,295,78
K2TiF6Mn0.065,9.065,6,0.065,5.935,75,25,9,16,160.90174716299998,54.938044,18.998403163,35.939640837,550,220,50,170,7.89,3.98,0.82,3.16,19,7,1,6,36.02562154,17.42282,4.34066354,13.08215646,115.625,54,1.625,52.375,243.624991838,113.990418978,3.57097286,110.419446118,889.1,440,9.1,430.9,27.16075,23.88,0.10075,23.779249999999998,48.455,42,0.455,41.545,120.52957825000001,104.53692000000001,0.48321117,104.05370883,298,460,78
KSrGdP2O8Ce0.04Mn0.07,13.11,8,0.04,7.96,227,64,8,56,525.995105998,157.25,15.999,141.251,1085,220,60,160,11.27,3.44,0.82,2.62,25,7,1,6,53.262684740000005,13.618054,4.34066354,9.27739046,219.07,64,1.7500000000000002,62.25,483.358127076,157.25,3.84566308,153.40433692,1297.2,480,7.4,472.6,35.0233,27.52,0.044800000000000006,27.4752,63.57,48,0.08,47.92,146.845056,108.944432,0.221544,108.72288800000001,298,280,78
KBa0.998ScSi2O7Eu0.002,12.000000000000002,7,0.002,6.998,181,63,8,55,417.429208,151.964,15.999,135.965,950,220,60,160,8.41,3.44,0,3.44,18,6,1,5,43.55393954,13.618054,4.34066354,9.27739046,180.014,56,0.126,55.874,389.57348199999996,137.052346,0.303928,136.748418,1234.9399999999998,420,0.37,419.63,30.94822,24.08,0,24.08,56,42,0.004,41.996,127.744478982,95.326378,0.01134077,95.31503723,298,350,78.2
LaAl0.998Mg0.001O3Mn0.001,5,3,0.001,2.999,115,57,8,49,261.1290525,138.90547,15.999,122.90647000000001,670,195,60,135,9.01,3.44,1.1,2.34,21,7,2,5,40.2609754,13.618054,5.5769,8.041154,94.01100000000001,57,0.012,56.988,213.90928846700004,138.90547,0.024305,138.881165,500.03999999999996,195,0.14,194.86,13.02964,10.32,0.0013100000000000002,10.31869,24.003,18,0.002,17.998,52.4199391162,40.854162,0.007434018000000001,40.846727982000004,298,337,78.6
Ca5P3O12ClCe0.08,21.08,12,0.08,11.92,118,58,8,50,262.616761998,140.116,15.999,124.11700000000002,625,185,60,125,10.91,3.44,1,2.44,22,7,2,5,48.7241252,13.618054,5.5386,8.079454000000002,262.64,100,4.64,95.36,531.9585659940001,200.39000000000001,11.209280000000001,189.18072,2034.8,900,14.8,885.2,56.0996,41.28,0.08960000000000001,41.190400000000004,104.16,72,0.16,71.84,238.85320000000002,163.416648,0.443088,162.97356000000002,298,340,78.6
CaGd0.98W4O16Tb0.5Eu0.01,22.490000000000002,16,0.01,15.99,294,74,8,66,708.0563500000001,183.84,15.999,167.841,915,185,60,125,7.34,3.44,0,3.44,20,6,2,4,45.2792202,13.618054,5.670385,7.947669000000001,539.85,296,0.63,295.37,1266.509315,735.36,1.51964,733.84036,1945.75,960,1.85,958.15,64.01599999999999,55.04,0,55.04,124.98,96,0.02,95.98,264.47354313,217.888864,0.05670385,217.83216015000002,298,380,78.7
CaAlSiN3Ce1,7,3,1,2,112,58,7,51,249.26753850000003,140.116,14.007,126.10900000000001,665,185,65,120,8.67,3.04,1,2.04,16,5,2,3,40.3233366,14.53413,5.5386,8.995529999999999,126,58,13,45,277.2815385,140.116,26.9815385,113.13446150000001,795,195,110,85,14.75,9.120000000000001,1,8.120000000000001,26,15,2,13,69.3915966,43.60239,5.5386,38.06379,298,450,78.9
Y3Al5O12Ce0.01,20.01,12,0.01,11.99,118,58,8,50,272.0023785,140.116,15.999,124.11700000000002,550,185,60,125,7.39,3.44,1.12,2.32,14,6,2,4,31.3596824,13.618054,5.5386,8.079454000000002,278.58,117,0.58,116.42,595.0143724999999,266.71752,1.4011600000000002,265.31636,1886.85,720,1.85,718.15,53.001200000000004,41.28,0.011200000000000002,41.2688,96.02,72,0.02,71.98,212.052656,163.416648,0.055386,163.361262,300,454,79
Sr0.73Ba0.25Si2O2N2Eu0.02,7,2,0.02,1.98,186,63,7,56,435.002,151.964,14.007,137.957,835,215,60,155,10.219999999999999,3.44,0,3.44,21,6,2,4,52.880783199999996,14.53413,5.211664,9.322465999999999,101,28,1.26,26.74,217.51563000000002,63.9626,3.03928,60.923320000000004,673.45,220,3.7,216.3,17.676000000000002,6.88,0,6.88,32,12,0.04,11.96,78.181310756,29.06826,0.1134077,28.9548523,298,450,79
